Time,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,Amount,Class
0,-1.359807134,-0.072781173,2.53634673796914,1.37815522427443,-0.33832077,0.462387777762292,0.239598554061257,0.0986979012610507,0.363786969611213,0.0907941719789316,-0.551599533,-0.617800856,-0.991389847,-0.311169354,1.46817697209427,-0.470400525,0.207971241929242,0.0257905801985591,0.403992960255733,0.251412098239705,-0.018306778,0.277837575558899,-0.11047391,0.0669280749146731,0.128539358273528,-0.189114844,0.133558376740387,-0.021053053,149.62,0
0,1.19185711131486,0.26615071205963,0.16648011335321,0.448154078460911,0.0600176492822243,-0.082360809,-0.078802983,0.0851016549148104,-0.255425128,-0.166974414,1.61272666105479,1.06523531137287,0.48909501589608,-0.143772296,0.635558093258208,0.463917041022171,-0.114804663,-0.18336127,-0.145783041,-0.069083135,-0.225775248,-0.638671953,0.101288021253234,-0.339846476,0.167170404418143,0.125894532368176,-0.008983099,0.0147241691924927,2.69,0
1,-1.358354062,-1.340163075,1.77320934263119,0.379779593034328,-0.503198133,1.80049938079263,0.791460956450422,0.247675786588991,-1.514654323,0.207642865216696,0.624501459424895,0.066083685268831,0.717292731410831,-0.165945923,2.34586494901581,-2.890083194,1.10996937869599,-0.121359313,-2.261857095,0.524979725224404,0.247998153469754,0.771679401917229,0.909412262347719,-0.689280956,-0.327641834,-0.139096572,-0.055352794,-0.059751841,378.66,0
1,-0.966271712,-0.185226008,1.79299333957872,-0.863291275,-0.01030888,1.24720316752486,0.23760893977178,0.377435874652262,-1.387024063,-0.054951922,-0.226487264,0.178228225877303,0.507756869957169,-0.287923745,-0.631418118,-1.059647245,-0.684092786,1.96577500349538,-1.23262197,-0.208037781,-0.108300452,0.00527359678253453,-0.190320519,-1.175575332,0.647376034602038,-0.221928844,0.0627228487293033,0.0614576285006353,123.5,0
2,-1.158233093,0.877736754848451,1.548717847,0.403033933955121,-0.407193377,0.0959214624684256,0.592940745385545,-0.270532677,0.817739308235294,0.753074431976354,-0.822842878,0.53819555014995,1.3458515932154,-1.119669835,0.175121130008994,-0.451449183,-0.237033239,-0.038194787,0.803486924960175,0.408542360392758,-0.009430697,0.79827849458971,-0.13745808,0.141266983824769,-0.206009588,0.502292224181569,0.219422229513348,0.215153147499206,69.99,0
2,-0.425965884,0.960523044882985,1.14110934232219,-0.16825208,0.42098688077219,-0.029727552,0.476200948720027,0.260314333074874,-0.568671376,-0.371407197,1.34126198001957,0.359893837038039,-0.358090653,-0.1371337,0.517616806555742,0.401725895589603,-0.058132823,0.0686531494425432,-0.033193788,0.0849676720682049,-0.208253515,-0.559824796,-0.026397668,-0.371426583,-0.232793817,0.105914779097957,0.253844224739337,0.0810802569229443,3.67,0
4,1.22965763450793,0.141003507049326,0.0453707735899449,1.20261273673594,0.191880988597645,0.272708122899098,-0.005159003,0.0812129398830894,0.464959994783886,-0.099254321,-1.416907243,-0.153825826,-0.751062716,0.16737196252175,0.0501435942254188,-0.443586798,0.00282051247234708,-0.61198734,-0.045575045,-0.219632553,-0.167716266,-0.270709726,-0.154103787,-0.780055415,0.75013693580659,-0.257236846,0.0345074297438413,0.00516776890624916,4.99,0
7,-0.644269442,1.41796354547385,1.0743803763556,-0.492199018,0.948934094764157,0.428118462833089,1.12063135838353,-3.807864239,0.615374730667027,1.24937617815176,-0.619467796,0.291474353088705,1.75796421396042,-1.32386522,0.686132504394383,-0.076126999,-1.222127345,-0.35822157,0.324504731321494,-0.156741852,1.94346533978412,-1.01545471,0.057503529867291,-0.649709006,-0.415266566,-0.051634297,-1.206921081,-1.085339188,40.8,0
7,-0.894286082,0.286157196276544,-0.113192213,-0.27152613,2.6695986595986,3.72181806112751,0.370145127676916,0.851084443200905,-0.392047587,-0.410430433,-0.705116587,-0.110452262,-0.286253632,0.0743553603016731,-0.32878305,-0.210077268,-0.499767969,0.118764861004217,0.57032816746536,0.0527356691149697,-0.0734251,-0.268091632,-0.20423267,1.0115918018785,0.373204680146282,-0.384157308,0.0117473564581996,0.14240432992147,93.2,0
28589,-0.343297286,-0.679725528,0.518887057638298,-1.790167981,0.972440612467876,-1.03419637,0.217868382928019,-0.230786234,-1.309125693,0.610407142410898,0.471305385323578,-0.643958915,-0.487974817,0.0372514796188857,-0.813553474,1.44009895177692,-0.562522041,-0.972178153,0.805218137834715,0.2739493177026,-0.007541846,-0.303200457,0.281640105982581,-0.563734029,-1.082446867,-0.869030628,-0.00293731,0.00197731819786581,30,0
